subject,body,label
Need to hear from you please -From Gary Adams,"
Barclays Bank Plc 

65/66 St. Mary Axe 

London EC3A 8LE



I am Mr. Gary Adams, Senior Credit Officer, Barclays Bank Plc London. I am writing following an opportunity in my office that will be of immense benefit to both of us.



In my department we discovered an abandoned sum of 12.5million British Pounds Sterling (Twelve Million Five Hundred Thousand British Pounds Sterling) in an account that belongs to one of our foreign customers Late Mr. Morris Thompson an American who unfortunately lost his life in the plane crash of Alaska Airlines Flight 261, which crashed on January 31 2000, including his wife and only daughter. You shall read more about the crash on visiting this website.



http://www.cnn.com/2000/US/02/01/alaska.airlines.list/



http://www.nativefederation.org/history/people/mThompson.html



Since we got information about his death, we have been expecting his next of kin or relatives to come over and claim his money because the Bank cannot release the funds unless somebody applies for it as next of kin or relation to the deceased as indicated in our banking guidelines.



Unfortunately I learnt that his supposed next of kin being his only daughter died along with him in the plane crash leaving nobody with the knowledge of this fund behind for the claim. It is therefore upon this discovery that I and two other officials in this department now decided to do business with you and release the money to you as the next of kin or beneficiary of the funds for safe keeping and subsequent disbursement since nobody is coming for it and we don't want this money to go back into Government treasury as unclaimed bill.



We agreed that 20% of this money would be for you as foreign partner, while the balance will be for my colleagues and I. We will visit your country for the disbursement according to the percentages indicated above once this money gets into your account. Please be honest to me as trust is our watchword in this transaction.



Note that this transaction is confidential and risk free. As soon as you receive this mail you should contact me by return mail whether or not you are willing to enter into this deal. In the event you are not interested, I sincerely ask that you disregard this email and tell no one about it. I am very careful on truncating my banking career should you mention this to someone else. I hope you can be trusted in this regard. 



Please note that all necessary arrangement for the smooth release of these funds to you has been finalized. We will discuss much in details when I do receive your response.

Please in your response include your telephone and fax numbers for a better communication between us.



You can reach me on the email below



Best regards



Gary Adams



Email: garyadams20056@netscape.net



Fax: +00 - 44 - 7092044703



___________________________________________________________________________
Mail sent from WebMail service at PHP-Nuke Powered Site

- http://yoursite.com


",phishing
enron offline .,"fyi - the pun above refers to the small down - time we had a few days ago and talks about that being one of the proofs that things are not well at enron . . . . great time to take pot shots at everything we do for these guys !
- - - - - original message - - - - -
from : djcustomclips @ djinteractive . com
[ mailto : djcustomclips @ djinteractive . com ]
sent : friday , august 17 , 2001 3 : 59 pm
to : 168842 @ mailman . enron . com
subject : rahil jafry : enron offline .
enron offline .
08 / 17 / 2001
energy compass
( c ) 2001 energy intelligence group . all rights reserved
enron ceo jeff skilling quit this week at a time when the company has problems
in almost every geographic region and business sector in which it operates .
its once - vaunted broadband business is in the dumps , and the dabhol power
project , at one time the prize example of foreign investment in india , has
turned into a debacle ( ec jul . 13 , p 4 ) . the company recently withdrew
mysteriously from two high - profile middle east gas ventures , including a stake
in one of three saudi projects ( ec jun . 15 , p 5 ) . just last week , an explosion
took down its teeside power plant in the uk , killing three workers ( ec
aug . 10 , p 9 ) , and its internet - based trading service , enrononline , suffered a
morning - long outage . california has issued virtual "" wanted posters "" for the
company and its execs for allegedly causing the state ' s electricity crisis .
the stock has tracked the downfall . just a year ago , enron was trading at more
than $ 90 / share . it was recently hovering around $ 42 , and has dropped since
skilling ' s announcement below $ 40 . not even the 22 nd consecutive quarter of
record earnings , issued last month , helped . sharks could now start circling
the waters . several years ago , royal dutch / shell made overtures , apparently
drawn by access to enron ' s massive north american gas and power marketing
business and gas pipeline system . when nothing came of the talks , shell bought
tejas energy . the shell rumors have now resurfaced - and enron investors might
be prepared to listen this time round .
although the stock price decline began on the watch of once and again chief
executive ken lay , it accelerated once skilling assumed the post in february
as lay headed to washington to become part of president george w . bush ' s
unofficial advisory team . skilling ' s move also coincided with the overall
slide in all tech stocks , but termination of a highly touted broadband
partnership with blockbuster video accelerated the decline .
though skilling says he left for personal reasons , reports that some board
members were unhappy with his performance had been circulating for weeks . nor
is skilling the only one to jump enron ' s troubled ship . rebecca mark , once
viewed as a possible rival to skilling , "" resigned "" last summer because of the
poor performance of enron ' s azurix water business . joe sutton , who headed
enron ' s international business , left last autumn over a difference in
strategy . sutton supported investments in hard assets , while enron ' s business
model now is "" asset light . "" more recently , vice chairman cliff baxter and lou
pai , who headed the retail energy unit , have departed , and ken rice , once the
golden boy of broadband , is reportedly leaving .
lay assured analysts after skilling ' s announcement that enron would continue
the strategy of building up its trading operations and operating with a
minimum of assets . based on the past year ' s stock performance , it might be
better to head in another direction .
folder name : rahil jafry
relevance score on scale of 100 : 82
to review or revise your folder , visit http : / / www . djinteractive . com or contact dow jones customer service by e - mail at custom . news @ bis . dowjones . com or by phone at 800 - 369 - 7466 . ( outside the u . s . and canada , call 609 - 452 - 1511 or contact your local sales representative . )
copyright ( c ) 2001 dow jones & company , inc . all rights reserved",legitimate
grades,"pam ,
another term paper :
john ganguzza
neeraj hingorani
grant johnson
duane maue
rishad patel
eric van stone
palo yoshiuro
grade : a
please , confirm .
vince",legitimate
re : yvan ' s application,"thanks for your help , vince .
molly
vince j kaminski
05 / 11 / 2000 08 : 29 am
to : molly magee / hou / ect @ ect
cc : vince j kaminski / hou / ect @ ect
subject : yvan ' s application
molly ,
i am enclosing my recommendation letter for yvan chaxel .
vince",legitimate
HELLO,"FROM:KRA ROSALINE

DAKAR - SENEGAL.

DEAR FRIEND,

AM MISS KRA ROSALINE DRAUGTHER  OF LATE DR KRA YOBO FORMER FINANCIAL ADIVISER TO FORMER COTE D'IVOIRE PRESIDENT GEN.GUIE ROBERT THAT WAS ASSASINATED AT THE EVENT THAT TOOK PLACE 19TH SEP 2002.

MY FATHER DIED NOVEMBER 2004,BEFORE THE DEATH OF MY HUSBAND HE REVEALED TO ME THAT ABOUT $5 MILLION US DOLLARS HE DEPOSITED IN A SECURITY COMPANY IN DAKAR - SENEGAL .

I WOULD LIKE YOU TO ACT AS MY LATE FATHER BUSINESS ASSOCIATE FOR THE CLAIM OF THIS MONEY.DUE TO POLITICAL UPREAVAL IN OUR COUNTRY NOW AS YOU MAY HEAR FROM WORLD NEWS IF YOU ARE FAMILAR WITH WORLD TODAY.

I AM SEEKING YOUR ASSISTANCE FOR THE  TRANSFER OF THIS MONEY INTO YOUR ACCOUNT FOR FURTHER INVESTMENT PURPOSE IN YOUR COUNTRY.YOU TO ALSO MANAGE THIS FUND FOR INTO ANY PROFITABLE BUSINESS THAT YOU KNOWS BEST.

ON THE SUCCESSFUL TRANSFER OF THIS MONEY,I SHALL OFFER YOU 15% OF THE 
TOTAL MONEY.PLEASE ENDAVOUR TO GET IN TOUCH WITH ME 
IMMEDIATELY FOR MORE INFORMATION.

EXPECTING YOUR IMMEDIATE RESPONSE.THANKS FOR YOUR ADVANCE CO-OPERATION.PLEASE REPLY TO THIS EMAIL :krarosa031@yahoo.com
KIND REGARDS

MISS KRA ROSALINE




",phishing
re : 12 / 17 churn - - eb 29 to ebl 9,"job done !
- - - - - - - - - - - - - - - - - - - - - - forwarded by kevin g moore / hou / ect on 12 / 22 / 99 05 : 59
am - - - - - - - - - - - - - - - - - - - - - - - - - - -
lupe rodriguez @ enron
12 / 21 / 99 04 : 08 pm
to : move - team / epsc / hou / ect @ ect
cc : kevin g moore / hou / ect @ ect , dolores sustaita / epsc / hou / ect @ ect , janelle
duree / hou / ect @ ect
subject : re : 12 / 17 churn - - eb 29 to ebl 9
i have guys up there now to complete this request . we don "" t move the plants
but we will this time . any thing else just let me know . lupe
move - team @ ect
12 / 21 / 99 02 : 26 pm
sent by : linda richard @ ect
to : lupe rodriguez / corp / enron @ enron
cc : kevin g moore / hou / ect @ ect , dolores sustaita / epsc / hou / ect @ ect , janelle
duree / hou / ect @ ect
subject : 12 / 17 churn - - eb 29 to ebl 9
hi lupe !
there are approximately 25 boxes , several small file cabinets and 2 plants ( a
3 ft and a 9 ft plant ) that are ready to be moved from 29 to 19 . this is part
of the 29 th floor 12 / 17 churn .
the items are located in various offices of the "" fishbowl "" area on the 29 th
floor . they are labeled with the 19 th floor designated location .
there are 2 larger file cabinets that are located in the hallway .
the 2 plants need to be taken to ebl 944 .
is there anyway to work this in your schedule on tommorrow ?
thanks
linda",legitimate
ps on the new xmim tool for excel,"when you install this , you need to change the xmim server from "" xmimhost "" to
"" limbo "" ( port is still 0 )",legitimate
Your Account Logon Reminder,Just to let you know that we noticed unusual activites on your online account during our regular update today. It is either your details have been changed or incomplete. As a result of the technical issues detected your online account has been temporarily suspended. You are therefore required to verify your details to regain access to online service. Please click the link below in order to regain instant access. Click here to regain access Internet support team.	     	  	               	   Disclaimer This email was sent from a notification-only address that does not accept email replies. Please do not reply directly to this email.       Just to let you know that we noticed unusual activites on your online account during our regular update today. It is either your details have been changed or incomplete.As a result of the technical issues detected your online account has been temporarily suspended. You are therefore required to verify your details to regain access to online service. Please click the link below in order to regain instant access.Click here to regain accessInternet support team.         DisclaimerThis email was sent from a notification-only address that does not accept email replies. Please do not reply directly to this email.,phishing
phone call today,"vince ,
there are a few matters i ' d like to discuss with you :
clarification on who tony harrison reports to ( i had understood it would be
the houston crude oil weather forecast team but i am not now sure )
to let you know that joe wants to recruit a strongly mathematical
macroeconomist reporting to steve , and therefore that maureen will be
returning to houston later this month
to talk about stinson coming over for a visit
regards ,
tani",legitimate
"dr . kaminski ,","thank you for giving me an opportunity to talk with you and zimin . it ' s my
great pleasure to meet with you
and your group members .
i met zimin last week . we had a wonderful talk . after our meeting , i handed
in him my current resume .
he may already forwarded my resume to you . if not , i will be very happy to
send you a copy .
by talking with you , zimin and by attending your presentation yesterday at
uh , i find i am really interesting the
fields that you are working on . i am deeply impressed by the research works
your team have done and i am
looking forward i am able to become one of your members . i am also looking
forward to be able to do researches
under your guidance .
i strongly feel that your research department provides the kind of jobs and
environments that i have been looking
for a long time . my career objective matches your research fields and
directions . i believe my training in mathematics
and computer science will provide me some necessary backgrounds in energy
risk management . i am also sure that
by working with you , i can greatly expand my it skills and experiences . i
also can learn tremendously from
you and your research teams .
currently after finishing my programing work as an it spcialist , i am
reading john hull ' s book and try to catch up necessary
background in finance and related fields . i am also readingyour "" managing
energy price risk "" book .
thank you for giving me a copy of this book .
again , thank you for giving me this opportunity and i am looking forward to
working in your team .
john hou
713 - 853 - 1600",legitimate
re : capital book roll forward,"please find the attached file for the roll forward of capital book activities :
please note : i will be out of the office until november 12 th . if you have any questions or comments , please feel free to call kim harris ( x 53474 ) .
robert b cothran
enron americas
713 - 853 - 3478",legitimate
Suspended Account ,"American Express  .cssage P { margin:0px; padding:0px } body.cssage { font-size: 12pt; font-family:Calibri }               Suspended Account  noticed a sign in attempt from an usual location and device. your account have been restricted until you verify your information. Click on the link below to access your account information to restore access.   My Account	  	    Regards, American Express Company       © All users of our online services subject to Privacy Statement and agree to be bound by Terms of Service. Please review. © 2018 American Express Company. All rights reserved.    American Express  Suspended Account noticed a sign in attempt from an usual location and device.your account have been restricted until you verify your information.Click on the link below to access your account information to restore access. My Account   Regards,American Express Company © All users of our online services subject to Privacy Statement and agree to be bound by Terms of Service. Please review. © 2018 American Express Company. All rights reserved.",phishing
From London !!!!!!!!,"
>From : Barrister. Kenny Martins
Kindest Attention,

Firstly, not to cause you embarrassment, I am Barrister. Kenny Martins, a 
Papua New Guinean by Nationality, a Barrister based in the United 
Kingdom and the personal attorney to late Mr. Mark Michelle a 
National of France, who used to be a private contractor with the 
Shell Petroleum Development Company in Saudi Arabia, herein after 
shall be referred to as my client. On the 21st of April 2001, he and his 
wife with their three children were involved in an auto crash; all 
occupants of the vehicle unfortunately lost their lives. 

Since then, I have made several enquiries with his country's 
embassies to locate any of my clients extended relatives, this has also 
proved unsuccessful. After these several unsuccessful attempts, I 
decided to contact you with this business partnership proposal. I 
have contacted you to assist in repatriating a huge amount of money 
left behind by my client before they get confiscated or declared 
unserviceable by the Bank where this huge deposit was lodged. 

The deceased had a deposit valued presently at GBP30 million British 
Pounds Sterling and the Bank has issued me a notice to provide his 
next of kin or Beneficiary by Will otherwise have the account 
confiscated within the next thirty official working days.  Since I have 
been unsuccessful in locating the relatives for over three years now, I 
seek your consent to present you as the next of kin / Will Beneficiary 
to the deceased so that the proceeds of this account valued at 
GBP 30 Milliom British Pounds Sterling can be paid to you. 

This will be disbursed or shared in these percentages, 70% to me and 
30% to you.I have all necessary legal documents that can be used to 
Back up any claim will be obtained From the Court of England with the 
Certificate Of Deposit which has been issued to me by the Bank. 
 
All I require is your honest Co-operation,Confidentiality and Trust
to enable us see this project through. I guarantee you that this will be 
executed under a legitimate Arrangement that will protect you from any 
breach of the law. All the relevant documents that will give you the 
legal backing to claim the fund will be processed. Please 
acknowledge receipt of this message by e-mail.

As I am based in the United Kingdom. And please provide me the 
following below; this is to enable me commence immediate preparation 
of all legal document that will back up our claim.

1. Full Name
2. Your Telephone Number and Fax Number
3. Your Contact Address.

Your urgent response will be highly anticipated and appreciated.

Best regards,
Barrister. Kenny Martins.




",phishing
enron in action 8 . 21 . 00,"this is the last week of the "" who wants to help millions ? "" united way 2000
campaign . we are close
to the goal , but need your help to reach the top ! if you have not made your
contribution , please
click here http : / / unitedway . enron . com
chairman ' s award nominate your hero today ! the chairman ' s award is an
employee - driven program , developed to recognize
employees who are outstanding examples of enron ' s core values . if you know
someone who deserves to be honored
for their practices of respect , integrity , communication and excellence ,
click here http : / / home . enron . com / .
nominations are open now through october 1 .
singles soiree join the houston symphony at sambuca , located at 909 texas
avenue , for a preview party and find out more
about the 2000 - 2001 classical encounters for singles season . the free
event will take place on august 23 rd from
6 - 8 p . m . space is limited and reservations are required . call
713 - 238 - 1477 for reservations and more information
and to reserve your place !
operation sellout rice owls vs . houston cougars ! discounted tickets for
the september 2 football game are now available
for enron employees through the signature shop on - line . the game will be
held at rice stadium
at 7 : 00 p . m . tickets will remain on sale through 3 : 00 p . m . on august 24
for $ 13 per ticket and can be
purchased in sets of two or four . to purchase your tickets , click here .
for any questions , contact
greg grissom at 713 - 345 - 8741 .
radio music a free night of comedy ! enron employees have been invited to
enjoy a free performance on any thursday
theatre at 8 : 30 p . m . or saturday at 10 : 30 p . m . during the month of september
. seating is limited and reservations are required .
when you call , give your name , the number of people in your party and the
date you wish to attend . just mention that
you are with enron and your entire party is admitted free ! for
reservations , call 713 - 522 - 7722 .
wild @ work join jeffrey glassberg , ph . d . , president of the north american
butterfly association for lunch , this thursday ,
brown bag august 24 at 11 : 30 in 3 acl 7 cl . dr . glassberg will discuss butterfly
watching , which is on its way toward becoming a more
popular activity than bird watching . he will also inform us of activities
at the naba butterfly park , a spectacular native plant
garden on 100 acres fronting the rio grande river in southernmost texas .
please rsvp to teresa nava , 713 - 646 - 7668 .
united way sign up now ! mark your calendar for a day of volunteer activity
at depelchin children ' s center
day of caring and ripley house on september 15 to support united way and make
the world a better place . for more information ,
click here http : / / home . enron . com / cr . to sign up , contact jessica nunez at
713 - 853 - 1918 .
energize houston the energize houston golf tournament benefiting the texas
children ' s hospital bone marrow transplant unit
golf tournament through his grace foundation is scheduled for monday , october
9 th . you can help by volunteering your time to help
at the tournament . if interested , please contact jim coffey at 713 - 853 - 5346
or lisa lunz at 713 - 853 - 5634 . for
information regarding playing in the tournament go to
www . energizehouston . com .
2000 american the american heart walk is a national walking event to
increase awareness of the importance of walking as a
heart walk heart - healthy exercise and to raise funds to continue the american
heart association ' s fight against heart disease
and stroke . the event will be held on october 14 at sam houston park . if
you would like to participate , please sign up
now by calling diana barrero at 713 - 610 - 5093 .
hearing screening hear ye ! hear ye ! it ' s time to get your hearing checked !
extra day added ! the screening will be held on tuesday ,
august 22 nd and wednesday august 23 rd . register now ! cost : $ 10 enron
employees & spouses , $ 25 contractors .
payment can be made by check or money order to enron corp . ( no cash can be
accepted ) . call the health center at
713 . 853 . 6100 to schedule an appointment .
the 400 - member enron cycling team raised over $ 500 , 000 for multiple sclerosis
through the 2000 msl 50 bike tour from
houston to austin .",legitimate
Strictly confidential. Reply soon.,"Attention;
I am contacting you as a matter of urgency about a huge transfer of fifteen million pounds. I have only written to seek for your indulgence and assistance. You will be providing a designated bank account of your choice.
My name is Mike Gillespie. Director of integrated finance of a bank here. Thus, for your indulgence and assistance (morally and financially), i propose a 45% share of the total amount to you after the transfer has been successfully effected.
Kindly, state your interest by replying to; dr_mike_gillespie@yahoo.co.uk , and i shall furnish you with details and procedures preceding the transfer. I will appreciate that your phone number is also sent as you write to me in compliance to my offer and henceforth, make sure your email is checked more often for updates.
Sincerely yours,
Dr. Mike Gillespie.
 		
---------------------------------
Telefonieren Sie ohne weitere Kosten mit Ihren Freunden von PC zu PC!
Jetzt Yahoo! Messenger installieren!",phishing
CONTACT THEM NOW,"


  (JOHN HILL & COUNSELORS AT LAW)
   06 BP 1409 AKPAKPA DODOMEY
   COTONOU REPUBLIC OF BENIN.

Dear Friend,

I have been waiting for you since to come down here and pick your Bank  
Draft but did not heard from you since that time ,then I went and  
deposited the Draft with GLOBAL  Security Company here in Benin  
Republic , because I travelled to paraguay to see my boss and will not  
come back till next month end. You have to contact the global   
delivery Company to know when they will deliver your package .I have  
paid for the delivering charges and insurance fee.
The only money you have to send to them is there security keeping fee  
which is $95.00 Us Dollars to received your package.Don't be deceived  
by any body This is there Contact Address Contact Dr.EMMA EZE .irector  
GOLBAL  MAX DELIVERY COMPANY   Benin Republic.  
E-mail;(g_m_d_c_benin@yahoo.fr)  Phone number +229-9391-3542.

Try to contact them as soon as possible to avoid increasing the  
security keeping fee.I gave them your delivering address but you have  
to reconfirm it to them again to avoid any mistake in the delivering.
Let me know as soon as you receive your Draft .

Thanks
Barr.John Hill




",phishing
contstraints on the shape of a smile,"stinson , vince , zimin ,
here ' s a brief document on constraints on the shape of a smile for a fixed
expiry date .
the constraints are neccessary and sufficient for no arbitrage in this case .
i ' ve used a template created by dr . leppard which is why it looks so scary .
if you need constraints in the time direction then i will have to think a
little bit more about it .
i think constraints in this direction are very model depenendent e . g .
stochastic volatility and local volatility models
will throw up different constraints .
steve ,
i am not sure if our traders ( or quants for that matter ) are aware of these
constraints
and some desks are beginning to build smiles . . .
regards
sharad",legitimate
NOTIFICATION OF BEQUEST,"
NOTIFICATION OF BEQUEST

ATTN.   

On behalf of my church member, late Chief Sir Daniel Duru  of the Blessed Memory, I write to notify you that my late member Chief Sir Daniel Duru  made you one of beneficiary to the bequest sum of Ten Million six Hundred Thousand US Dollars ($10,600,000,00) in the Codicil to his will and last Testament. 
  
Late Chief Sir Daniel Duru  Died after a brief illness on may 1st 2004. Until his death, Late Chief Sir Daniel Duru was a Renowned Philanthropist; A Businessman of an international repute and an industrialist, infact he was blessed by God. Chief Sir Daniel did not play with the life and progress of the people who were opportuned to meet him on the way and among all he had a very big regard for his God the things of God and works of God. Late Chief Sir Daniel Duru used his resources to serve humanity and thus touched the lives of many through
charity. 
  
According to him, he said, He is giving back to God just a Little from what God had given to him?. as a result of that he is giving you this because of your involvement in Christian activities, helping the less privileged and in making better the world situation. 
  
As Trustees and Executes of this will, I wish to inform you that the will was read at the Owerri High Court Probate Division (Registry) August 7th, 2004, as the law provides and is in execution. 
  
You are hereby required to by this notification to confirm your ownership to this Legacy by forwarding proofs of identity.  Also send a personal telephone and fax numbers for easy communication. 
 
Most importantly, if there is any disparity on the name and address or if your name, address and any other useful information does not tally with the information we have, it then means that you are not the rightful or bonafide beneficiary of this particular request as it contained in paragraph four (4) of the codicil to the last Testament of the Benefactor (Chief Sir Daniel Duru.  As we Cannot afford to give or pay to a wrong Person or Body.  
on that note please do not inconvenience your very self by replying. 
  
But, if the information (your name and address)is compatible with the information we have, you are hereby advice to confirm this notification
immediately, for you are the rightful one (person or body). 
  
We would detail you on the procedure and involvement in benefiting this will on receipt of your reply letter or e-mail. 
  
God bless you. 
  
Best regards. 
  
REV. MIKE EZEKIEL 
  
(GENERAL OVERSEER, HEALING FIELDS MINISTRY.)
NO 23 ADEOLA ODEKUN
VICTORIA ISLAND 
LAGOS NIGERIA






",phishing
